,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-17
A,Sample,,,,,,,,,,,,
A,Peak 1,87,87,87,87,87,87,87,87,87,86.5,86.5,87
A,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
B,Content,Std-2,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-18
B,Sample,,,,,,,,,,,,
B,Peak 1,86.5,86.5,86.5,87,87,87,86.5,86.5,86.5,87,86,87
B,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
C,Content,Std-3,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-19
C,Sample,,,,,,,,,,,,
C,Peak 1,86.5,86.5,86.5,86.5,86.5,87,87,87,87,86,87,87
C,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
D,Content,Std-4,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-20
D,Sample,,,,,,,,,,,,
D,Peak 1,86.5,86.5,86.5,87,87,87,87,87,87,86,85.5,85.5
D,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
E,Content,Std-5,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-21
E,Sample,,,,,,,,,,,,
E,Peak 1,86.5,86.5,86.5,87,87,87,87,87,87,85.5,86,86.5
E,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
F,Content,Std-6,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-22
F,Sample,,,,,,,,,,,,
F,Peak 1,86.5,86.5,86.5,87,87,87,86.5,86.5,86.5,87,87,87
F,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
G,Content,Std-7,Std-7,Std-7,Unkn-7,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-23
G,Sample,,,,,,,,,,,,
G,Peak 1,86.5,87,86.5,86.5,86.5,86.5,87,87,87,87,87,87
G,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
H,Content,NTC,NTC,NTC,Unkn-8,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-24
H,Sample,,,,,,,,,,,,
H,Peak 1,87,87,87,86.5,86.5,86.5,87,86.5,86.5,86.5,86.5,87
H,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
